
*** ChampSim Multicore Out-of-Order Simulator ***

Warmup Instructions: 20000000
Simulation Instructions: 30000000
Number of CPUs: 1
LLC sets: 2048
LLC ways: 16
Off-chip DRAM Size: 4096 MB Channels: 1 Width: 64-bit Data Rate: 3200 MT/s

CPU 0 runs ../traces//400.perlbench-41B.champsimtrace.xz
CPU 0 Bimodal branch predictor
CPU 0 L2C next line prefetcher
11, 2, 12, 3, 13, 3, 6, 6, 9, 0, 3, 2, 6, 1, 5, 3, 7, 3, 7, 1, 3, 3, 3, 4, 4, 3, 4, 3, 3, 1, 1, 0, 2, 0, 2, 1, 2, 0, 0, 2, 2, 1, 2, 4, 4, 1, 
16, 13, 9, 7, 9, 6, 7, 6, 13, 6, 9, 3, 7, 7, 11, 4, 13, 4, 5, 2, 11, 0, 4, 5, 6, 6, 7, 2, 6, 4, 3, 3, 6, 0, 5, 0, 4, 5, 2, 3, 4, 3, 3, 1, 3, 0, 
17, 14, 14, 12, 14, 10, 9, 12, 10, 6, 5, 8, 6, 5, 8, 4, 9, 5, 5, 3, 3, 6, 8, 6, 9, 4, 8, 7, 4, 4, 2, 4, 5, 6, 6, 5, 2, 3, 5, 4, 4, 1, 6, 7, 4, 4, 
17, 12, 17, 11, 9, 9, 10, 4, 11, 6, 10, 8, 13, 6, 10, 3, 10, 2, 7, 3, 7, 1, 6, 4, 7, 3, 6, 10, 5, 3, 6, 5, 8, 5, 6, 6, 5, 2, 5, 1, 4, 1, 2, 2, 2, 5, 
13, 12, 12, 8, 11, 7, 10, 5, 8, 3, 6, 8, 9, 8, 6, 6, 10, 10, 6, 4, 8, 3, 3, 4, 4, 5, 6, 4, 3, 2, 4, 4, 5, 3, 6, 1, 2, 2, 3, 3, 0, 8, 4, 4, 2, 7, 
16, 13, 17, 13, 8, 10, 11, 8, 10, 7, 11, 2, 7, 7, 10, 7, 7, 4, 4, 6, 5, 3, 4, 4, 5, 7, 7, 4, 4, 2, 6, 5, 8, 4, 6, 4, 5, 2, 9, 8, 6, 2, 5, 3, 6, 4, 
16, 12, 10, 8, 9, 10, 8, 5, 6, 4, 10, 7, 4, 4, 1, 4, 4, 6, 5, 6, 5, 6, 6, 5, 4, 5, 7, 5, 7, 5, 1, 4, 3, 2, 3, 2, 3, 0, 2, 2, 3, 3, 5, 2, 2, 7, 
11, 9, 12, 6, 6, 3, 11, 6, 7, 6, 6, 5, 5, 6, 8, 5, 3, 4, 3, 5, 3, 4, 5, 1, 4, 3, 5, 3, 2, 0, 8, 1, 4, 1, 3, 0, 5, 2, 4, 0, 1, 0, 2, 1, 1, 1, 
10, 13, 10, 8, 13, 9, 6, 8, 9, 5, 8, 6, 7, 9, 6, 8, 9, 7, 10, 9, 6, 3, 8, 2, 12, 4, 7, 2, 5, 3, 7, 2, 4, 5, 3, 3, 8, 2, 3, 4, 5, 3, 6, 4, 0, 2, 
17, 16, 14, 7, 12, 13, 9, 14, 8, 8, 8, 7, 11, 8, 5, 6, 5, 11, 6, 7, 4, 7, 5, 6, 3, 6, 6, 6, 6, 5, 7, 5, 5, 6, 7, 5, 6, 3, 4, 4, 3, 9, 2, 3, 4, 3, 
13, 11, 13, 10, 12, 7, 11, 12, 10, 12, 10, 10, 11, 10, 9, 7, 10, 5, 5, 4, 7, 8, 8, 5, 9, 3, 5, 7, 8, 3, 8, 2, 3, 6, 3, 5, 5, 2, 4, 4, 5, 3, 3, 2, 3, 4, 
19, 15, 15, 14, 11, 12, 12, 9, 8, 12, 4, 12, 6, 10, 11, 13, 9, 11, 10, 8, 7, 8, 9, 9, 9, 3, 6, 5, 5, 4, 7, 2, 7, 2, 8, 6, 7, 10, 7, 7, 6, 2, 6, 7, 5, 4, 
18, 15, 18, 10, 15, 10, 11, 8, 13, 8, 11, 8, 11, 8, 10, 8, 10, 7, 7, 8, 7, 8, 7, 10, 9, 6, 9, 6, 11, 4, 7, 8, 4, 4, 4, 4, 5, 7, 7, 9, 9, 8, 5, 4, 6, 3, 
19, 15, 16, 12, 16, 8, 11, 11, 9, 9, 9, 13, 9, 10, 8, 10, 9, 5, 8, 9, 7, 7, 3, 4, 5, 5, 5, 8, 7, 8, 7, 8, 9, 8, 8, 6, 7, 5, 5, 4, 6, 9, 1, 3, 2, 3, 
19, 16, 17, 15, 12, 13, 8, 12, 15, 13, 8, 14, 10, 13, 12, 10, 11, 12, 7, 10, 8, 10, 9, 11, 9, 11, 10, 8, 10, 3, 10, 8, 11, 8, 7, 7, 12, 4, 8, 12, 8, 5, 6, 8, 6, 4, 
17, 17, 17, 10, 11, 11, 11, 9, 9, 13, 7, 14, 11, 12, 12, 6, 12, 11, 10, 11, 13, 5, 9, 9, 11, 5, 7, 7, 4, 6, 7, 6, 5, 9, 7, 5, 8, 9, 5, 5, 5, 7, 6, 4, 9, 4, 
20, 18, 17, 17, 18, 12, 13, 14, 5, 14, 13, 17, 10, 12, 11, 14, 5, 13, 11, 10, 8, 8, 10, 8, 9, 4, 7, 3, 6, 4, 5, 5, 6, 4, 8, 10, 3, 4, 5, 9, 9, 6, 6, 5, 2, 8, 
19, 15, 15, 11, 12, 12, 12, 12, 10, 13, 9, 8, 12, 11, 12, 8, 8, 12, 11, 8, 7, 7, 7, 7, 8, 8, 6, 7, 6, 4, 10, 7, 8, 8, 4, 3, 8, 5, 5, 9, 3, 7, 5, 3, 4, 1, 
21, 16, 15, 12, 13, 13, 13, 16, 13, 13, 10, 13, 10, 11, 14, 7, 7, 11, 7, 9, 9, 7, 4, 9, 5, 12, 9, 7, 8, 7, 10, 7, 10, 5, 4, 11, 6, 6, 8, 7, 6, 0, 3, 8, 4, 3, 
21, 17, 14, 16, 13, 15, 18, 14, 12, 14, 11, 9, 14, 9, 12, 11, 11, 9, 9, 12, 8, 8, 5, 6, 7, 6, 11, 7, 8, 7, 4, 7, 11, 8, 11, 7, 6, 3, 8, 4, 5, 4, 5, 6, 6, 9, 
17, 15, 19, 15, 14, 13, 11, 17, 10, 13, 11, 14, 5, 12, 11, 10, 12, 11, 9, 9, 11, 10, 7, 11, 8, 6, 5, 4, 4, 4, 7, 7, 9, 5, 6, 6, 7, 6, 7, 7, 8, 6, 5, 5, 1, 6, 
19, 16, 17, 14, 13, 12, 12, 8, 10, 7, 13, 8, 11, 2, 8, 7, 6, 7, 13, 8, 7, 4, 8, 8, 8, 5, 9, 8, 7, 6, 5, 6, 8, 5, 4, 3, 6, 5, 4, 8, 7, 6, 6, 8, 5, 3, 
16, 18, 16, 14, 16, 13, 13, 11, 12, 13, 10, 10, 11, 12, 11, 13, 6, 10, 12, 11, 10, 11, 9, 12, 8, 11, 8, 7, 8, 9, 8, 9, 8, 7, 6, 7, 4, 5, 4, 7, 7, 9, 7, 3, 9, 5, 
20, 17, 19, 15, 10, 14, 15, 12, 14, 12, 15, 14, 8, 13, 6, 13, 11, 11, 13, 17, 11, 13, 8, 11, 8, 11, 13, 12, 12, 10, 9, 5, 8, 3, 9, 4, 4, 7, 6, 5, 7, 10, 14, 11, 8, 4, 
19, 19, 16, 10, 13, 12, 13, 12, 10, 9, 10, 13, 7, 12, 10, 13, 12, 10, 6, 11, 15, 10, 6, 7, 6, 10, 6, 7, 5, 13, 5, 10, 5, 4, 8, 4, 8, 3, 8, 7, 9, 7, 6, 10, 9, 6, 
17, 11, 19, 15, 14, 12, 12, 15, 8, 12, 13, 14, 13, 11, 9, 10, 12, 9, 11, 10, 8, 8, 10, 9, 9, 7, 7, 7, 6, 3, 9, 6, 9, 7, 5, 5, 8, 2, 6, 8, 4, 8, 4, 7, 5, 6, 
15, 8, 13, 13, 12, 7, 12, 13, 13, 6, 14, 7, 10, 7, 8, 8, 9, 13, 9, 7, 14, 7, 11, 4, 7, 1, 7, 9, 7, 7, 6, 5, 9, 5, 8, 7, 5, 5, 11, 3, 5, 4, 6, 5, 7, 3, 
12, 11, 12, 11, 8, 11, 8, 11, 9, 11, 8, 8, 7, 9, 10, 10, 12, 8, 10, 9, 6, 8, 7, 5, 8, 6, 8, 7, 7, 6, 9, 9, 9, 4, 6, 4, 8, 5, 9, 7, 4, 6, 5, 4, 2, 5, 
19, 12, 17, 11, 13, 17, 12, 10, 8, 14, 13, 12, 12, 10, 7, 10, 9, 7, 7, 12, 9, 9, 7, 3, 10, 8, 7, 10, 9, 9, 9, 11, 9, 7, 9, 9, 8, 9, 7, 8, 5, 7, 9, 6, 8, 8, 
21, 15, 20, 18, 21, 13, 16, 13, 11, 12, 17, 14, 11, 12, 13, 9, 9, 9, 6, 11, 12, 11, 11, 9, 11, 8, 10, 10, 11, 6, 11, 8, 7, 5, 10, 11, 10, 3, 9, 4, 7, 5, 10, 6, 8, 5, 
19, 13, 16, 13, 15, 16, 14, 11, 20, 13, 15, 12, 13, 14, 10, 11, 7, 12, 10, 10, 16, 11, 12, 4, 15, 6, 6, 12, 9, 10, 9, 15, 9, 6, 11, 7, 7, 8, 8, 10, 8, 4, 6, 8, 7, 7, 
21, 16, 19, 15, 15, 14, 14, 12, 11, 14, 12, 13, 8, 17, 11, 13, 13, 11, 10, 11, 11, 11, 8, 12, 9, 9, 7, 9, 8, 8, 9, 10, 7, 11, 5, 6, 8, 5, 9, 7, 7, 7, 10, 12, 7, 7, 
